No,Province,Name of landfill,Management Unit,Location,Area (ha),Capacity (tons/day),Actual Capacity (tons/day),Waste processing techniques,Scope of service,Note,detected,latitude,longitude,no_dump,uncertain
11,Ha Tinh,Lò đốt rác thải sinh hoạt Phố Châu,HTX DV môi trường Xuân Yên,Thị trấn Phố Châu- huyện Hương Sơn,3.8,14.4,7.5,Lò đốt rác thải sinh hoạt Loshiho sản xuất trong nước (Nam Định),"thị trấn Phố Châu và dọc đường Quốc lộ 8A qua Sơn Trung, Sơn Phú, Sơn Giang ",Quyết định 5978/QĐ-UBND ngày 20/12/2017 của UBND huyện Hương Sơn,false,18.502222222222223,105.41388888888889,true,false
12,Ha Tinh,"Lò đốt rác thải sinh hoạt Thạch Trị, Thạch Lạc",,"Xã Thạch Trị, Thạch Lạc, huyện Thạch Hà",1,  24 ,18,"Lò đốt rác sinh hoạt SANKYO, công nghệ Nhật Bản","10 xã: Thạch Hải, Thạch Khê, Thạch Đỉnh, Thạch Bàn, Thạch Văn, Thạch Hội, Thạch Trị, Thạch Lạc, Thạch Thắng và Tượng Sơn",Hiện mới hòan thành các thủ tục đầu tư và thủ tục môi trường,false,18.37666666666667,105.97416666666666,false,true
13,Ha Tinh,Bãi rác xã Hương Trạch,,"Xã Hương Trạch, huyện Hương Khê",,,,,,,,18.08861111111111,105.79333333333334,,
14,Quang Binh,Bãi rác chung Đồng Hới - Bố Trạch,CPC of Dong Hoi,"Ly Trach Commune, Bo Trach district, Quang Binh Province",22.50,50,,,,,false,17.5025,106.5436111111111,false,false
15,Quang Binh,Bãi rác huyện Quảng Ninh,DPC of Quang Ninh,"Vinh Ninh commune, Quang Ninh district, Quang Binh province",4.40,100,,,,,true,17.401944444444442,106.5961111111111,false,false
16,Quang Binh,Bãi rác huyện Lệ Thuỷ,DPC of Le Thuy,"Truong Thuy commune, Le Thuy District, Quang Binh province",2.50,70,,,,,,17.12638888888889,106.76694444444445,,
17,Quang Binh,"Bãi rác Quảng Lưu, huyện Quảng Trạch",DPC of Quang Trach,"Quang Luu and Quang Tien Communes, Quang Trach district, Quang Binh province",1.60,100,,,,,true,17.83888888888889,106.38805555555557,false,false
18,Quang Binh,Bãi rác huyện Tuyên Hoá,DPC of Tuyen Hoa,"Dong Le Town, Tuyen Hoa district, Quang Binh province",6.20,30,,,,,true,17.87611111111111,106.00472222222223,false,false
19,Quang Binh,Bãi rác xã Lâm Hóa,,"Xã Lâm Hoá, huyện Tuyên Hóa",,,,,,,true,17.940833333333334,105.81083333333333,false,false
20,Quang Binh,Bãi rác xã Văn Hóa,,"Xã Văn Hoá, huyện Tuyên Hóa",,,,,,,true,17.771666666666665,106.25777777777778,false,false
21,Quang Binh,Bãi rác huyện Minh Hoá,DPC of Minh Hoa,"Hong Hoa commune, Minh Hoa district, Quang Binh province",2.40,10,,,,,,17.87472222222222,105.95916666666668,,
22,Quang Binh,Bãi rác Cha Lo,DPC of Tuyen Hoa ,"Dan Hoa commune, Tuyen Hoa district, Quang Binh province",0.81,1,,,,,false,17.733888888888888,105.78027777777778,false,true
